MLS ID,OJO Source Name ,MLS Name,Listings Requests,New Listings Requests,Updated Listings Requests,Happy Cases,Happy Cases (%),Not Found Cases,Not Found Cases (%),First Found - New,Recovery Cases - New,New Listings Recovered,New Listings Not Recovered,First Found - Updates,Recovery Cases - Updates,Updated Listings Recovered,Update Listings Not Recovered,Min - RT,Listings Recovery <= Avg Time,Avg - RT,Listings recovered > Avg Time,Max - RT,Min - RT - New,New Listings Recovery <= Avg Time,Avg - RT - New,New Listings recovered > Avg Time,Max - RT - New,Min - RT - Updates,Updated Listings Recovery <= Avg Time,Avg - RT - Updates,Updated Listings recovered > Avg Time,Max - RT - Updates,Report - Start Time,Report - End Time
415,nc_ccar,WRAR,416,225,193,412,99.04,4,0.9599999999999937,44,181,178,3,193,0,0,0,0:25:00.700000,114,1:13:42.679219,78,2:14:29.480000,0:25:00.700000,104,1:14:14.279775,74,2:14:29.480000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
416,nc_frar,"Longleaf Pine REALTORS, Inc.",88,64,24,87,98.86,1,1.1400000000000006,0,64,63,1,24,0,0,0,0:40:00.090000,38,1:31:53.580147,30,2:13:33.090000,0:40:00.090000,36,1:32:05.128413,27,2:13:33.090000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
417,nc_hcar,High Country AOR,54,22,32,54,100.0,0,0.0,0,22,22,0,31,1,1,0,0:27:25.050000,10,1:07:15.532000,15,1:47:26.420000,0:27:25.050000,9,1:06:46.666364,13,1:47:26.420000,1:17:27.520000,1,1:17:27.520000,0,1:17:27.520000,2022-03-31 00:00:34,2022-04-01 00:00:34
418,nc_pspaar,Mid Carolina MLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,None,0,None,0,None,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
419,nc_baar,Burlington Almanace MLS,27,18,9,27,100.0,0,0.0,0,18,18,0,9,0,0,0,1:11:29.580000,11,1:34:28.791500,9,2:06:29.660000,1:11:29.580000,9,1:35:55.573333,9,2:06:29.660000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
420,tx_war,Waco MLS,59,43,16,58,98.31,1,1.6899999999999977,4,39,38,1,16,0,0,0,0:15:02.200000,17,1:26:29.679487,22,2:04:27.680000,0:15:02.200000,16,1:27:58.893158,22,2:04:27.680000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
421,ga_mls,Georgia MLS,1861,829,1039,1803,96.88,58,3.1200000000000045,1,828,791,37,1032,7,2,5,0:25:00.710000,467,1:35:19.204890,351,2:54:31.910000,0:25:01.060000,451,1:35:50.153262,340,2:54:31.910000,0:54:34.350000,1,1:19:33.345000,1,1:44:32.340000,2022-03-31 00:00:34,2022-04-01 00:00:34
422,ga_fmls,FMLS,1637,693,947,1603,97.92,34,2.0799999999999983,0,693,660,33,946,1,1,0,0:35:01.520000,341,1:46:41.998580,335,4:56:31.160000,0:35:01.520000,333,1:46:43.566394,327,4:56:31.160000,1:51:29.150000,1,1:51:29.150000,0,1:51:29.150000,2022-03-31 00:00:34,2022-04-01 00:00:34
423,ga_negbor,Northeast Georgia Board of Realtors,180,52,128,164,91.11,16,8.89,40,12,0,12,125,3,0,3,19:29:59.250000,1,19:29:59.250000,0,19:29:59.250000,None,0,None,0,None,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
424,fl_tbr,Tallahassee MLS,110,53,59,105,95.45,5,4.549999999999997,2,51,50,1,59,0,0,0,0:10:01.220000,29,0:37:37.774444,25,1:07:28.080000,0:10:01.220000,26,0:37:41.284600,24,1:07:28.080000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
425,fl_dbaar,DBAAR,70,30,40,70,100.0,0,0.0,4,26,26,0,40,0,0,0,0:04:59.980000,16,0:53:25.183333,11,1:32:28.270000,0:04:59.980000,16,0:52:52.730769,10,1:32:28.270000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
426,fl_pmls,Pensacola Association of Realtors - PAR,110,55,55,106,96.36,4,3.6400000000000006,5,50,46,4,55,0,0,0,0:12:30.530000,27,0:49:25.365000,19,3:27:28.380000,0:12:30.530000,27,0:49:25.365000,19,3:27:28.380000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
428,fl_rafgc,RAFGC MLS,23,9,15,23,100.0,0,0.0,1,8,8,0,15,0,0,0,0:04:59.820000,5,2:00:56.082500,3,3:56:29.100000,0:04:59.820000,5,2:00:56.082500,3,3:56:29.100000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
429,mi_bcra,Bay County MLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,None,0,None,0,None,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
430,fl_ecar,Emerald Coast MLS,174,75,99,164,94.25,10,5.75,1,74,64,10,99,0,0,0,0:56:33.440000,34,2:53:19.279589,39,4:56:34.500000,0:56:33.440000,31,2:56:32.288437,33,4:56:34.500000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
431,fl_mfrmls,Stellar MLS,2253,1078,1202,2032,90.19,221,9.810000000000002,0,1078,868,210,1202,0,0,0,0:59:57.170000,524,2:25:05.268684,380,6:06:34.120000,0:59:57.170000,500,2:25:32.228364,368,6:06:34.120000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
432,fl_ramb,SEFMLS,1962,286,1677,1954,99.59,8,0.4099999999999966,46,240,232,8,1677,0,0,0,0:05:00.630000,112,1:00:04.363362,123,9:43:28.840000,0:05:00.630000,111,1:00:14.230345,121,9:43:28.840000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
433,fl_nefmls,NEFAR MLS,388,200,190,383,98.71,5,1.2900000000000063,57,143,138,5,188,2,2,0,0:03:27.830000,73,0:34:23.009103,72,1:08:27.770000,0:03:27.830000,70,0:34:41.788478,68,1:08:27.770000,0:10:01.370000,1,0:11:45.245000,1,0:13:29.120000,2022-03-31 00:00:34,2022-04-01 00:00:34
434,fl_space,Space Coast MLS,261,71,190,229,87.74,32,12.260000000000005,46,25,9,16,171,19,3,16,0:04:30.260000,11,2:13:29.980000,3,7:55:01.110000,0:04:30.260000,7,2:22:19.991111,2,7:55:01.110000,0:59:30.660000,2,2:36:21.493333,1,5:50:03.100000,2022-03-31 00:00:34,2022-04-01 00:00:34
435,fl_rmls,Beaches MLS,515,191,327,441,85.63,74,14.370000000000005,3,188,124,64,289,38,29,9,0:20:01.030000,104,1:52:00.654534,57,10:30:00.230000,0:20:01.030000,73,1:45:05.532984,51,6:12:32.270000,1:22:31.200000,26,2:07:34.510690,3,6:02:32.330000,2022-03-31 00:00:34,2022-04-01 00:00:34
436,fl_ragfl,GFLR MLS,390,96,295,355,91.03,35,8.969999999999999,2,94,64,30,285,10,7,3,0:15:00.640000,59,1:56:08.608800,16,20:20:03.380000,0:15:00.640000,52,2:00:14.924219,12,20:20:03.380000,1:17:28.780000,5,1:35:20.478571,2,1:57:29.130000,2022-03-31 00:00:34,2022-04-01 00:00:34
437,fl_fkbor,FKBOR MLS,56,16,40,53,94.64,3,5.359999999999999,0,16,13,3,40,0,0,0,1:12:31.560000,6,3:27:30.089231,7,4:37:31.310000,1:12:31.560000,6,3:27:30.089231,7,4:37:31.310000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
438,fl_gfmb,Florida Gulf Coast MLS,381,166,216,374,98.16,7,1.8400000000000034,3,163,157,6,216,0,0,0,0:05:00.650000,67,0:49:06.750250,93,1:52:25.520000,0:05:00.650000,67,0:48:39.949936,90,1:52:25.520000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
439,fl_mlsn,MLS of Naples,273,83,191,271,99.27,2,0.730000000000004,3,80,78,2,191,0,0,0,0:05:00.110000,48,1:07:35.303418,31,1:47:28.890000,0:05:00.110000,34,1:07:23.861538,44,1:47:28.890000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
440,fl_rairc,RAIRC MLS,51,26,25,51,100.0,0,0.0,10,16,16,0,25,0,0,0,0:25:24.470000,12,2:28:52.495556,6,8:25:25.440000,0:25:24.470000,10,2:42:08.761875,6,8:25:25.440000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
442,pa_wpn,West Penn Multi-List,340,204,140,333,97.94,7,2.0600000000000023,29,175,168,7,140,0,0,0,0:30:00.490000,114,1:43:19.159353,56,3:42:29.600000,0:30:00.490000,113,1:43:28.692798,55,3:42:29.600000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
443,pa_lvar,GLVR,177,56,122,157,88.7,20,11.299999999999997,0,56,41,15,116,6,2,4,0:15:05.130000,22,2:25:45.734651,21,5:50:00.670000,0:15:05.130000,22,2:20:10.743171,19,4:50:33.220000,2:50:25.450000,1,4:20:13.060000,1,5:50:00.670000,2022-03-31 00:00:34,2022-04-01 00:00:34
444,fl_gacar,Gainsville Alchua County AOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,None,0,None,0,None,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
445,fl_hcar,Hernando County AOR,52,25,28,50,96.15,2,3.8499999999999943,3,22,20,2,28,0,0,0,0:13:23.960000,11,0:45:27.338500,9,2:08:26.400000,0:13:23.960000,11,0:45:27.338500,9,2:08:26.400000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
446,fl_sasjcbr,St Augustine St Johns MLS,59,29,30,38,64.41,21,35.59,0,29,9,20,30,0,0,0,0:35:27.680000,5,6:08:20.344000,5,15:40:26.820000,0:35:27.680000,5,6:39:15.117778,4,15:40:26.820000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
447,fl_fcar,Flagler County MLS,64,22,42,64,100.0,0,0.0,0,22,22,0,42,0,0,0,0:05:00.910000,11,0:51:50.527826,12,1:50:00.200000,0:05:00.910000,11,0:51:28.149545,11,1:50:00.200000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
448,fl_nsb,New Smyrna Beach MLS,21,11,10,21,100.0,0,0.0,0,11,11,0,10,0,0,0,0:04:37.450000,6,1:30:21.107500,10,2:25:25.020000,0:04:37.450000,4,1:33:30.044545,7,2:25:25.020000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
449,fl_ramc,MCRTC,38,6,32,37,97.37,1,2.6299999999999955,0,6,5,1,32,0,0,0,1:15:01.380000,3,1:43:07.636000,2,2:30:06.380000,1:15:01.380000,3,1:43:07.636000,2,2:30:06.380000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
450,pa_gebr,Greater Erie BOR,32,21,12,31,96.88,1,3.1200000000000045,1,20,19,1,12,0,0,0,0:30:01.390000,10,2:18:44.319474,9,3:55:27.540000,0:30:01.390000,10,2:18:44.319474,9,3:55:27.540000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
451,nj_gsmls,GSMLX,613,246,375,503,82.06,110,17.939999999999998,0,246,150,96,352,23,10,13,0:59:31.200000,97,1:31:48.633727,64,7:44:34.090000,0:59:31.200000,96,1:31:00.915800,54,7:44:34.090000,1:44:27.660000,5,1:44:28.063000,5,1:44:29.140000,2022-03-31 00:00:34,2022-04-01 00:00:34
452,nj_momls,Monmouth/Ocean MLS,354,147,210,302,85.31,52,14.689999999999998,15,132,91,41,190,20,10,10,0:44:32.910000,71,1:52:57.688039,31,6:19:29.830000,0:44:32.910000,62,1:50:41.345714,29,3:34:29.680000,1:14:28.530000,8,2:13:58.824000,2,6:19:29.830000,2022-03-31 00:00:34,2022-04-01 00:00:34
453,nj_sjsrmls,SJSR MLS,84,29,55,84,100.0,0,0.0,0,29,29,0,55,0,0,0,0:15:01.330000,15,1:09:16.213226,16,1:41:32.260000,0:15:01.330000,14,1:08:56.576552,15,1:41:32.260000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
454,nj_mls,New Jersey MLS,326,131,196,318,97.55,8,2.450000000000003,4,127,119,8,196,0,0,0,0:04:59.470000,55,0:51:39.447983,64,1:27:28.650000,0:04:59.470000,55,0:51:39.447983,64,1:27:28.650000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
455,nj_cmcar,Cape May County MLS,51,17,35,49,96.08,2,3.9200000000000017,0,17,17,0,35,0,0,0,1:27:30.150000,7,1:50:43.144706,10,2:12:29.150000,1:27:30.150000,7,1:50:43.144706,10,2:12:29.150000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
456,nj_mcmls,Central Jersey MLS - CJMLS,165,44,130,137,83.03,28,16.97,0,44,21,23,122,8,3,5,0:40:02.470000,14,1:26:08.395833,10,1:57:27.540000,0:40:02.470000,8,1:22:23.181429,13,1:57:27.540000,1:52:24.830000,1,1:52:24.896667,2,1:52:24.940000,2022-03-31 00:00:34,2022-04-01 00:00:34
457,nj_hcmls,Hudson County MLS,134,62,73,131,97.76,3,2.239999999999995,2,60,57,3,73,0,0,0,0:20:01.700000,39,1:42:56.140175,18,3:56:30.970000,0:20:01.700000,39,1:42:56.140175,18,3:56:30.970000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
461,il_mred,MRED,2067,903,1173,1912,92.5,155,7.5,0,903,754,149,1173,0,0,0,0:44:35.490000,334,2:00:14.511995,443,20:00:00.900000,0:54:59.920000,314,2:01:06.182599,440,20:00:00.900000,None,0,None,0,None,2022-03-31 00:00:34,2022-04-01 00:00:34
